Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFC,EQ,09-Jul-2020,1886.05,1871.3,1947.9,1865,1944.5,1941.85,1929.5,6703324,12934045670.75,174261,2533960,37.8
HDFC,EQ,10-Jul-2020,1941.85,1915,1931.9,1876.25,1888.5,1886,1899.85,3853348,7320788674.45,153438,1503402,39.02
HDFC,EQ,13-Jul-2020,1886,1905,1907.2,1840,1853.65,1845.55,1862.45,3403604,6339056787.25,163322,1301324,38.23
HDFC,EQ,14-Jul-2020,1845.55,1825,1825.3,1770.5,1793.1,1791.6,1792.02,5529793,9909526728.75,212015,2344446,42.4
HDFC,EQ,15-Jul-2020,1791.6,1809,1821.9,1782,1797,1789.9,1803.21,3994980,7203769834.4,147688,1893738,47.4
HDFC,EQ,16-Jul-2020,1789.9,1792,1794.7,1750,1790,1787.8,1774.16,4230162,7504975484.9,154071,1932130,45.68
HDFC,EQ,17-Jul-2020,1787.8,1800,1821.95,1784.05,1812.05,1805.85,1806.59,4240987,7661742109.05,113416,1907129,44.97
HDFC,EQ,20-Jul-2020,1805.85,1844,1844,1801,1804.05,1806.05,1816.19,3915997,7112184282.85,142802,1566257,40
HDFC,EQ,21-Jul-2020,1806.05,1816.5,1900.95,1815,1887,1883.65,1869.58,6884035,12870275135.15,236947,2441562,35.47
HDFC,EQ,22-Jul-2020,1883.65,1895.5,1898.95,1851.5,1897.7,1881.05,1872.11,5538884,10369413956.8,199916,2993093,54.04
HDFC,EQ,23-Jul-2020,1881.05,1881.05,1910,1871.6,1872.25,1875.8,1891.88,3647242,6900158053.6,121783,1383497,37.93
HDFC,EQ,24-Jul-2020,1875.8,1854,1857.8,1817,1841,1841.3,1834.05,3309356,6069531974.8,148129,1143925,34.57
HDFC,EQ,27-Jul-2020,1841.3,1841.3,1861.95,1824,1853,1850.75,1842.36,3724639,6862134768.1,166745,1718505,46.14
HDFC,EQ,28-Jul-2020,1850.75,1859.35,1907,1844.5,1892,1897.35,1876.95,4346193,8157568543.65,175005,2221432,51.11
HDFC,EQ,29-Jul-2020,1897.35,1885,1918.5,1867.2,1879.65,1877.3,1890.21,7413828,14013720596.85,202540,4500440,60.7
HDFC,EQ,30-Jul-2020,1877.3,1880,1900.7,1804,1804.95,1810.65,1848.21,7473426,13812489030.95,243718,2500083,33.45
HDFC,EQ,31-Jul-2020,1810.65,1805,1811.2,1759,1786.5,1781.95,1783.75,7746014,13816965912.6,234358,3017062,38.95
HDFC,EQ,03-Aug-2020,1781.95,1781,1781.95,1730.1,1744,1739.8,1756.06,4648927,8163809657.2,199001,2400935,51.64
HDFC,EQ,04-Aug-2020,1739.8,1749,1794.45,1743.4,1783.85,1781.1,1773.16,4722583,8373874927.85,201026,2186015,46.29
HDFC,EQ,05-Aug-2020,1781.1,1784.4,1811.5,1766.25,1780,1776.7,1787.48,5576455,9967784417.55,166848,2552512,45.77
HDFC,EQ,06-Aug-2020,1776.7,1798.25,1805.7,1762.05,1778.45,1783.75,1784.36,6004624,10714415040.6,169297,2640217,43.97
HDFC,EQ,07-Aug-2020,1783.75,1774.95,1781.8,1763,1779.9,1777.7,1773.89,5129995,9100051953.15,146649,3082806,60.09
