Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,
HDFCLIFE,EQ,04-Jun-2020,501.35,521.15,524.95,512.3,517.55,517.6,517.98,11740028,6081063971.95,147402,4895538,41.7,,11740028,4895538
HDFCLIFE,EQ,05-Jun-2020,517.6,517.6,521.25,511.7,516.4,516.25,516.14,3558356,1836602787.4,60562,1903149,53.48,,3558356,1903149
HDFCLIFE,EQ,08-Jun-2020,516.25,520,529.8,516.25,524.15,522.05,524.17,8430264,4418926759.05,147437,5309720,62.98,,8430264,5309720
HDFCLIFE,EQ,09-Jun-2020,522.05,525,531,501.5,505,506.85,516.66,9173487,4739576109.8,132818,4557017,49.68,,9173487,4557017
HDFCLIFE,EQ,10-Jun-2020,506.85,507.45,507.95,499,502.5,501.7,503.16,3359218,1690227729.6,68990,1717602,51.13,,3359218,1717602
HDFCLIFE,EQ,11-Jun-2020,501.7,500,509.5,497,502,501.65,504.22,2483043,1252005694.55,48883,957713,38.57,,2483043,957713
HDFCLIFE,EQ,12-Jun-2020,501.65,488,504.15,486.25,502.5,502.3,496.58,8115192,4029823225.85,114873,5750099,70.86,,8115192,5750099
HDFCLIFE,EQ,15-Jun-2020,502.3,507.9,507.9,495.3,501.85,499.9,500.64,3620145,1812384587,73980,1994723,55.1,,3620145,1994723
HDFCLIFE,EQ,16-Jun-2020,499.9,505,510.7,497,507,505.7,505.19,3579474,1808331251.5,63423,1776348,49.63,,3579474,1776348
HDFCLIFE,EQ,17-Jun-2020,505.7,506,508.7,498.55,499.4,500.4,503.4,1857859,935246961.75,35946,781088,42.04,,1857859,781088
HDFCLIFE,EQ,18-Jun-2020,500.4,500,517.9,498.65,515.2,515.95,512.03,4084145,2091200388.95,81383,2047859,50.14,,4084145,2047859
HDFCLIFE,EQ,19-Jun-2020,515.95,517.95,524,514.35,520.15,521.1,519.24,4569791,2372816669.25,72145,2952294,64.6,,4569791,2952294
HDFCLIFE,EQ,22-Jun-2020,521.1,524.95,525.8,514.55,519.45,520.4,519.47,2767223,1437486755.4,54000,1511618,54.63,,2767223,1511618
HDFCLIFE,EQ,23-Jun-2020,520.4,524.25,544.6,520.4,538,537.05,536.41,5813524,3118459563.65,95610,1550225,55.14,,5813524,1550225
HDFCLIFE,EQ,24-Jun-2020,537.05,542.7,545.6,523.7,527.8,527.25,534.35,3765294,2011986133.4,76908,1532738,40.71,,3765294,1532738
HDFCLIFE,EQ,25-Jun-2020,527.25,520,539.75,519,536.95,538.4,533.77,2654401,1416841120.75,60899,1200895,45.24,,2654401,1200895
HDFCLIFE,EQ,26-Jun-2020,538.4,541.4,547.45,535,541.6,541.9,541.61,2586687,1400981976.25,45147,925929,35.8,,2586687,925929
HDFCLIFE,EQ,29-Jun-2020,541.9,543.5,544.6,532.65,536.7,537.2,538.37,1691390,910598635.65,47684,806064,47.66,,1691390,806064
HDFCLIFE,EQ,30-Jun-2020,537.2,540.5,554.45,537,550.1,549,549.4,3360063,1846012557.05,70448,1262660,37.58,,3360063,1262660
HDFCLIFE,EQ,01-Jul-2020,549,555.55,560,546.15,546.8,549.65,555.22,3419823,1898770493.6,77110,1357876,39.71,,3419823,1357876
HDFCLIFE,EQ,02-Jul-2020,549.65,549.5,552.5,545.7,548.4,547.95,548.74,1638118,898898468.35,39488,690171,42.13,,1638118,690171
HDFCLIFE,EQ,03-Jul-2020,547.95,564.95,589.6,558,575.75,572.15,574.91,15663762,9005195886.2,272940,4085989,26.09,,15663762,4085989
